Mineral,Net Import Reliance as Percentage of Consumption,Primary Import Source
Arsenic,100%,China
Fluorspar,100%,Mexico
Gallium,100%,China
Graphite ,100%,China
Indium,100%,Korea
Manganese,100%,Gabon
Niobium,100%,Brazil
Scandium,100%,Europe
Tantalum,100%,China
Yttrium,100%,China
Bismuth,96%,China
Rare Earths,95%,China
Titanium ,95%,Japan
Antimony,83%,China
Chromium,83%,South Africa
Tin,77%,Peru
Cobalt,76%,Norway
Zinc,76%,Canada
Aluminum ,75%,Jamaica
Barite,75%,China
Tellerium,75%,Canada
Platinum,66%,South Africa
Nickel,56%,Canada
Vanadium,54%,Canada
Germanium,50%,China
Magnesium,50%,Israel
Tungsten,50%,China
Zirconium,50%,South Africa
Palladium,26%,Russia
Lithium,25%,Argentina
